name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
University of Antwerp,59.4,131,36.4,312,46.2,171,90.4,141,83.5,97,71.8,325,"15,857",955,32.2,149,17%,399
The University of Western Australia,59.4,132,34.9,345,48.1,146,85.6,227,69.2,201,94.4,55,"18,405",828,21.3,466,28%,166
University of Technology Sydney,59.3,133,36.9,299,42.1,211,90.5,137,49.7,412,96,30,"27,481",487,35.1,108,31%,127
Case Western Reserve University,59,134,48.4,121,40.6,226,90.7,135,43.4,648,52.9,609,"10,934",1245,8.2,1686,20%,345
University of Lausanne,58.7,135,35.8,328,47.6,149,83,266,72.3,177,92.3,90,"13,401",1098,10.2,1558,23%,247
Georgetown University,58.6,136,55.5,82,35,309,88,181,54,339,49.1,691,"16,074",946,8,1696,19%,366
University of Exeter,58.5,137,32.4,429,41.3,219,94.8,94,39.2,1076,92.7,86,"24,165",600,15.9,936,29%,155
University of Ottawa,58.5,138,41.7,206,45.4,173,82.6,272,51,388,84.1,172,"36,670",247,26,274,24%,222
University of Auckland,58.4,139,36.8,300,44.3,184,85.4,232,56.4,301,94.3,56,"33,093",324,22.1,428,32%,116
Newcastle University,58.4,140,33.3,399,40,236,96,78,41.8,769,87.8,139,"25,590",551,15.1,1029,29%,156
Radboud University Nijmegen,58.4,141,34.9,346,51.6,128,85.5,228,48,457,74.7,277,"21,979",670,17.6,750,13%,547
University of Würzburg,58.4,142,40.7,218,45.2,176,87.8,187,79.4,120,57.3,523,"23,754",607,40.7,55,10%,666
University of York,58.4,143,39.3,254,44,189,85.9,221,38.4,1201,88.7,128,"17,665",870,14.4,1123,28%,172
University of Pittsburgh-Pittsburgh campus,58.3,144,46.2,144,42.9,199,90.6,136,44.2,598,43.4,854,"26,575",513,5.5,1761,11%,663
Maastricht University,58.2,145,38.4,275,49.6,140,75.5,400,73.2,170,98.1,11,"19,909",753,18.6,672,56%,16
University of Cologne,58,146,44.5,166,46.5,163,80,315,77.3,141,64.4,415,"33,341",319,30.4,166,16%,426
Rice University,57.9,147,46.5,140,39.7,242,84.4,243,44.5,585,75.3,267,"7,068",1528,9.2,1632,28%,177
University of Colorado Boulder,57.8,148,45.6,152,46.3,168,85.5,229,44.6,578,45.6,784,"34,928",284,16,918,8%,788
Ulm University,57.8,149,41.6,207,41.2,220,89.3,163,77.6,138,56.1,554,"10,271",1288,26.2,267,13%,536
Uppsala University,57.8,150,37.6,285,55.7,105,75.2,407,71.5,185,72.6,307,"25,548",552,15.3,1008,17%,409
University of Florida,57.7,151,55,85,58.7,86,64.2,587,51.4,381,41.4,927,"46,807",125,16.1,904,8%,787
Penn State (Main campus),57.7,152,47.8,129,53.8,115,75.2,408,41.6,787,48.3,712,"46,863",124,14,1171,16%,439
Tufts University,57.7,153,47.1,132,36.7,285,92.2,119,43.4,646,51.4,640,"11,399",1219,10,1574,16%,448
University of Rochester,57.6,154,42,200,40.5,229,87,204,49.3,424,73.8,288,"10,364",1279,7.7,1713,36%,89
KTH Royal Institute of Technology,57.5,155,43.5,177,53.8,117,68.4,510,68.1,210,81.1,208,"13,329",1103,16.4,879,20%,336
Arizona State University (Tempe),57.4,156,44.8,161,47.9,147,79.6,324,40.2,927,62.5,447,"50,027",97,19.6,593,17%,406
Technical University of Berlin,57.4,157,48.8,116,55.7,104,62,621,92.6,57,67.8,373,"20,243",738,48.1,26,27%,179
TU Dresden,57.4,158,48.8,117,50.7,135,69.1,502,92.4,58,60.5,469,"30,382",393,30.8,164,16%,425
University of Virginia (Main campus),57.4,159,48.1,125,39.8,239,86.6,211,45.8,528,52.5,617,"25,810",543,9,1642,13%,570
University of Cape Town,57.2,160,33.9,380,43.8,192,88.7,172,53.3,348,78.8,233,"21,069",706,12.8,1303,15%,477
University of Bologna,57,161,52.1,96,40.8,222,80.2,311,46.4,506,51.6,633,"69,831",44,24.4,328,12%,584
Trinity College Dublin,57,162,36,323,47.3,154,79.4,334,47.1,487,93.7,68,"17,764",864,21,490,28%,167
University of Leicester,56.9,163,31.4,463,32.9,354,98.7,32,41.9,756,92.5,89,"14,650",1029,14.1,1164,34%,103
Lomonosov Moscow State University,56.9,164,81,18,72.9,50,9.3,1687,99.1,25,72.4,312,"32,625",337,10,1570,36%,88
Pohang University of Science and Technology (POSTECH),56.9,165,54.7,87,51.4,129,67.7,520,96.2,35,31.8,1198,"3,260",1714,10,1580,3%,1266
Southern University of Science and Technology (SUSTech),56.8,166,29.8,530,42.9,200,95.5,85,77.9,134,59,499,"5,137",1639,8.8,1651,1%,1634
Technical University of Denmark,56.8,167,40.4,226,44.9,178,73.2,440,86,90,94,62,"9,599",1344,6.9,1735,26%,205
Medical University of Graz,56.6,168,29.4,545,34.4,318,96.8,68,98.1,28,79,230,"3,722",1698,14.1,1169,27%,191
"Northeastern University, US",56.6,169,39.9,237,30.2,424,96.2,76,40.1,940,76.3,262,"21,211",700,14.6,1094,36%,85
