name,ovr_score,ovr_rank,tch_score,tch_rank,res_score,res_rank,cit_score,cit_rank,ind_score,ind_rank,int_score,int_rank,std_stat,std_rank,stf_stat,stf_rank,int_stat,int_rank
Parthenope University of Naples,29.8,941,16.7,1524,20.3,732,63,607,38.1,1275,27.8,1354,"11,555",1203,33.7,126,2%,1294
Universiti Pendidikan Sultan Idris,29.8,942,28.4,588,25.5,541,33.9,1133,99.9,15,61.7,457,"5,968",1597,9.9,1591,18%,390
University of Peshawar,29.8,943,30.5,503,10.8,1411,53.2,792,37,1666,42.2,896,"6,107",1588,9,1645,1%,1633
University of the Philippines,29.8,944,21.4,1009,16.6,919,62.5,616,41.4,805,34.6,1116,"46,714",127,10.6,1519,0%,1780
Universitat Politècnica de Catalunya,29.8,945,27.3,634,19.3,774,43.8,958,43.5,644,58.7,504,"22,280",658,9.5,1615,14%,527
Polytechnic University of Valencia,29.8,946,25.7,704,21.8,671,38.4,1057,48.9,433,51.2,642,"23,406",620,12.7,1320,14%,514
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),29.8,947,28.1,599,25.6,536,30.9,1189,94.6,43,37.4,1031,"13,453",1096,18.7,666,3%,1205
Pontifical Catholic University of Rio Grande do Sul (PUCRS),29.8,948,25.6,709,17.1,884,50.2,849,41.7,782,29.6,1283,"14,096",1062,21.3,468,1%,1498
Pontifical Javeriana University,29.8,949,17.5,1420,11.1,1380,68.7,509,36.9,1735,43.6,847,"27,346",493,14.2,1146,2%,1381
University of Pretoria,29.8,950,27.9,606,31.6,394,35.3,1105,44.2,602,54.9,576,"36,492",251,21.7,447,7%,845
Princess Nourah bint Abdulrahman University,29.8,951,22.9,883,13.6,1130,46.3,917,45.6,539,85.5,159,"25,955",537,13.1,1267,15%,475
University of the Punjab,29.8,952,24.2,801,14,1103,52.1,815,37.5,1431,39.1,980,"28,384",457,22.4,412,1%,1487
University of Rennes 1,29.8,953,27.5,623,17,889,43.2,969,40.9,855,56.9,534,"28,275",463,18.5,679,11%,626
University of Rhode Island,29.8,954,23.3,851,18,843,56,742,37.2,1559,44.7,811,"15,851",957,14.5,1112,3%,1233
Rhodes University,29.8,955,24.8,759,13.4,1151,43.4,964,60.9,266,62,453,"6,872",1542,17,819,14%,501
University of Roehampton,29.8,956,20.1,1119,21.4,693,39.5,1036,37.3,1519,81.2,207,"7,780",1474,16.2,901,33%,110
University of Rome III,29.8,957,22.1,941,24.1,588,42.2,982,41.8,771,40.7,940,"33,264",320,47.7,27,5%,967
Roskilde University,29.8,958,19.5,1172,32.1,382,41.7,993,43.6,636,59.8,484,"6,100",1589,15.8,955,16%,434
Saint Petersburg State University,29.8,959,46.3,143,39.7,243,11.9,1625,39.7,1013,45.7,781,"24,335",592,9.1,1635,19%,365
University of Salamanca,29.8,960,26.9,656,20.8,713,38.4,1058,39.4,1048,55.5,565,"27,920",475,16.9,825,18%,380
University of Salento,29.8,961,26.1,690,19.3,775,53.2,791,39.8,993,29.6,1285,"13,608",1091,22.6,401,1%,1484
University of Salford,29.8,962,18,1342,14.9,1034,46.1,925,38,1295,74.3,282,"18,220",840,18.7,663,20%,333
University of Science and Technology Beijing,29.8,963,27.4,626,29.8,429,41,1005,59.5,275,22.3,1597,"28,432",455,16.1,907,4%,1110
Sechenov University,29.8,964,27.3,635,15.7,978,38.8,1044,42.7,710,56.7,538,"16,366",929,8.1,1691,24%,231
University of La Serena,29.8,965,12.7,1790,9.3,1612,65.6,562,36.9,1738,48,719,"7,643",1480,25.5,293,1%,1468
Shahid Beheshti University,29.8,966,27.1,648,27.4,491,36.2,1086,56.3,302,23.7,1529,"19,695",759,23.4,372,1%,1479
Shantou University,29.8,967,19.4,1181,15.5,992,53.7,784,40.6,882,33.9,1136,"14,119",1061,12.2,1372,1%,1607
Sheffield Hallam University,29.8,968,18.7,1250,14.3,1083,60.8,651,37.1,1595,57.3,525,"25,650",547,17.2,788,13%,551
Shiraz University,29.8,969,28.3,593,24.4,575,37.1,1075,49.5,418,24.8,1478,"14,552",1035,20.2,554,1%,1514
Shiraz University of Medical Sciences,29.8,970,34.7,360,11,1386,52.2,812,37,1667,21.3,1644,"10,228",1291,10.4,1544,3%,1264
University of Siegen,29.8,971,21.8,972,27.3,495,41.4,1000,40.6,887,52.3,619,"12,633",1145,26.4,263,12%,582
University of South Bohemia in České Budějovice,29.8,972,19.4,1182,17.1,887,46.9,910,36.9,1750,51.2,647,"8,763",1404,13.8,1198,7%,869
South China Normal University,29.8,973,21.1,1030,19.2,787,51.7,820,53.4,347,32.9,1169,"30,041",410,16.4,872,3%,1219
Southern Illinois University Carbondale,29.8,974,35.2,337,23.9,595,35.2,1108,47.1,489,33.9,1133,"10,130",1293,13.8,1195,7%,868
South Ural State University,29.8,975,17,1484,13.3,1169,64.9,574,41.6,789,41.6,915,"19,373",769,14.4,1120,10%,699
Suez Canal University,29.8,976,18.1,1327,8.2,1757,64.4,584,39.1,1091,47.5,732,"38,962",210,11.4,1447,1%,1618
Sunway University,29.8,977,20.4,1091,12,1287,58,704,37.6,1391,73.2,296,"4,638",1666,8.6,1670,15%,480
Symbiosis International University,29.8,978,18.6,1263,10.2,1486,73.4,437,37.3,1503,28.7,1320,"16,305",932,13,1281,6%,946
Taibah University,29.8,979,15.2,1668,9,1650,55.1,761,37.2,1560,74.7,279,"59,028",69,21.7,446,3%,1185
Tanta University,29.8,980,19.1,1206,8.4,1731,62.8,612,37.1,1594,42.9,876,"129,209",16,19.2,627,1%,1521
"University of Technology, Iraq",29.8,981,22,951,9.5,1571,60,668,39.6,1019,24.6,1489,"10,321",1284,6.9,1734,0%,1790
Universiti Tenaga Nasional (UNITEN),29.8,982,20.7,1065,15,1024,51.1,833,77.9,135,52.6,614,"4,987",1649,11.4,1452,11%,652
University of Texas at El Paso,29.8,983,26.6,669,31.7,391,32.8,1151,36.9,1757,41.6,919,"17,908",855,30.2,178,7%,829
Texas Tech University,29.8,984,29.7,536,19.2,784,42.9,971,37.6,1398,50.5,659,"35,957",264,19.4,611,7%,853
University of Thessaly,29.8,985,16,1600,14.4,1079,61.3,641,38.7,1158,37.8,1020,"21,962",672,30.2,177,2%,1300
Toronto Metropolitan University,29.8,986,19.7,1152,30.8,414,36.5,1084,40.5,896,59,501,"36,218",259,42.4,50,8%,761
Tribhuvan University,29.8,987,12.8,1787,7.9,1779,71.2,471,37,1650,45.4,793,"460,632",1,30.9,161,0%,1668
University of Urbino Carlo Bo,29.8,988,16.2,1583,17.1,888,59.1,685,42.7,707,49.3,686,"15,336",990,42.1,52,6%,888
Vilnius University,29.8,989,21.4,1010,18.7,809,47.3,897,45.9,527,55.5,563,"17,012",898,10.2,1555,9%,754
VIT University,29.8,990,22.9,884,14.6,1055,52.9,795,38.9,1133,31.5,1214,"33,416",317,17,806,4%,1103
University of Warsaw,29.8,991,26.8,662,27.4,492,42.6,973,37.8,1348,43,873,"37,090",240,12,1389,10%,709
Wenzhou Medical University,29.8,992,17.7,1394,14.2,1095,67.1,538,38.5,1187,26.5,1403,"19,243",783,11.2,1471,5%,1036
University of Winchester,29.8,993,16.7,1525,15.7,981,61.1,644,37,1657,52.8,611,"7,290",1504,16.8,844,10%,690
University of Wisconsin-Milwaukee,29.8,994,22.9,885,22.2,658,55.8,746,38,1292,33.4,1154,"19,218",784,19.3,621,5%,988
Worcester Polytechnic Institute,29.8,995,23.6,834,19.3,777,53.8,778,38.5,1188,52.2,621,"5,949",1600,12.7,1329,19%,361
University of Wyoming,29.8,996,27.6,618,14.4,1070,57.2,715,39.9,981,32.3,1179,"10,660",1261,14.7,1083,5%,1019
Yangzhou University,29.8,997,23.9,819,18.4,823,51.6,825,71.9,180,38.6,994,"31,066",382,13.3,1239,11%,642
Yeungnam University,29.8,998,20.2,1112,15.3,1008,54,774,42.7,708,43.3,861,"19,345",777,15,1041,4%,1116
Zagazig University,29.8,999,13.9,1753,8.3,1752,69.5,497,36.9,1734,43.5,853,"165,556",10,26.4,261,2%,1307
Zewail City of Science and Technology,29.8,1000,23.4,844,16.4,931,56.6,729,41,842,31.4,1216,"1,184",1784,11.6,1433,0%,1778
Zhejiang University of Finance and Economics,29.8,1001,14,1748,11.3,1352,64.8,576,38.6,1173,25.2,1456,"17,260",886,21.3,467,3%,1187
University of A Coruña,24.4,1002,19.9,1138,17.2,881,32.6,1156,39.5,1035,34.8,1107,"14,937",1021,12.2,1371,5%,1028
"Adam Mickiewicz University, Poznań",24.4,1003,19.3,1189,25.3,551,28.3,1243,39.2,1083,34.1,1129,"35,901",266,23.9,347,4%,1070
Ain Shams University,24.4,1004,24,812,13.1,1179,47.3,899,38.1,1278,41.2,933,"138,700",12,12.5,1341,4%,1130
Al-Farabi Kazakh National University,24.4,1005,27.3,636,10.8,1412,26.2,1282,41.1,835,69.2,352,"24,229",598,5.7,1759,15%,483
University of Algarve,24.4,1006,16.9,1498,17.3,877,40.6,1017,37.6,1399,69.6,347,"8,443",1431,14,1179,22%,272
University of Almería,24.4,1007,20,1128,17.6,857,36.9,1077,39.1,1095,42.3,892,"13,050",1122,17.5,765,12%,592
Amity University,24.4,1008,20.1,1120,12.6,1222,47.9,888,37.8,1347,22.7,1587,"31,383",373,16.2,895,6%,924
University of Anbar,24.4,1009,16,1601,8.6,1713,56.2,735,37.1,1598,29,1302,"26,521",517,15.9,934,0%,1747
"University of the Andes, Colombia",24.4,1010,20.3,1098,19.4,769,36.7,1082,44.1,609,53.2,602,"15,312",993,12.7,1324,1%,1602
Arts et Métiers,24.4,1011,25.8,701,16,952,24.2,1321,60.7,267,63.5,433,"6,230",1580,16.5,871,14%,504
Assiut University,24.4,1012,16.9,1499,9.4,1591,47.1,907,37,1671,46.9,752,"84,941",28,14.9,1047,1%,1570
Atılım University,24.4,1013,17,1485,9,1645,52.7,802,37.3,1511,40.7,941,"8,325",1441,11.1,1479,7%,877
Autonomous University of Sinaloa,24.4,1014,18.6,1264,7.7,1792,62.7,614,37,1656,23.7,1535,"74,001",37,21.8,440,0%,1702
Babeş-Bolyai University,24.4,1015,18.8,1232,16,956,37.6,1071,37.5,1434,40.8,938,"39,811",197,21,487,4%,1075
Bahauddin Zakariya University,24.4,1016,14.6,1719,11.9,1297,42.3,981,37.1,1606,42.9,877,"29,880",416,36.7,89,0%,1659
Bayero University,24.4,1017,17,1486,8.8,1671,41.5,998,37.4,1475,45.5,789,"44,410",151,25.9,278,0%,1684
Beijing Jiaotong University,24.4,1018,25.3,721,28.3,466,22.5,1365,61.9,253,32.3,1177,"29,086",440,14.7,1074,5%,1017
University of Botswana,24.4,1019,16.5,1552,12.6,1224,40.9,1009,37,1675,63.7,432,"13,063",1120,17.6,754,4%,1096
Bowling Green State University,24.4,1020,21.5,998,12.7,1211,38.8,1045,37,1676,25.8,1434,"15,199",1000,15.7,958,4%,1114
Instituto Politécnico de Bragança,24.4,1021,13.5,1770,12.6,1227,43.3,967,40.3,916,67.3,379,"8,845",1397,19.4,616,32%,119
University of Burgos,24.4,1022,20,1129,14.4,1074,34.8,1114,38.5,1190,36.2,1062,"7,599",1484,13.5,1226,5%,1025
University of Calcutta,24.4,1023,39.3,256,14.7,1047,21.4,1393,43,681,16.6,1778,"19,119",787,15.6,973,0%,1751
Cardiff Metropolitan University,24.4,1024,17.4,1432,12.5,1234,35.8,1095,37.6,1400,73,301,"9,380",1353,18.6,675,22%,260
Carlos III University of Madrid,24.4,1025,26.2,685,18.8,807,25.2,1304,42,751,61.8,456,"18,133",843,11,1486,17%,418
Technical University of Cartagena,24.4,1026,22.3,925,12.5,1231,34.8,1115,40.1,950,38.9,985,"4,466",1674,10,1578,9%,756
University of Castilla-La Mancha,24.4,1027,19.6,1163,16,955,36.9,1078,38.7,1163,40.1,956,"22,524",647,12.8,1302,8%,799
Universidad Católica San Antonio de Murcia (UCAM),24.4,1028,18.2,1317,14.6,1060,35,1110,45.1,559,49.9,671,"10,727",1255,19.5,606,15%,463
University of Central Lancashire,24.4,1029,18.2,1318,13.9,1115,45.5,936,37.3,1516,73.3,294,"19,285",781,14.4,1121,25%,214
Chang Gung University,24.4,1030,21.9,963,27.9,477,30.6,1196,77.3,143,28.3,1332,"7,016",1534,12.1,1384,5%,1031
Charles Sturt University,24.4,1031,17.8,1376,16,959,32.5,1161,37.3,1528,65,409,"22,735",641,20.2,551,20%,329
Chiang Mai University,24.4,1032,25.2,730,17,891,30.8,1192,58.2,288,36.4,1057,"34,110",295,14,1172,3%,1237
Chiba University,24.4,1033,26.5,673,18.3,832,32.8,1152,41.4,809,28.7,1316,"13,640",1087,8.5,1674,5%,1041
University of Chile,24.4,1034,22.6,905,18.6,815,37.1,1076,41.7,783,51.2,643,"37,286",238,15.5,978,5%,1009
"China University of Geosciences, Beijing",24.4,1035,29.8,531,19.2,783,38.6,1048,50.8,395,20.6,1666,"16,758",910,16.6,859,1%,1549
China Pharmaceutical University,24.4,1036,18.8,1233,15.8,974,41.8,991,57.8,290,18.7,1721,"24,270",596,22.4,414,2%,1321
Chonnam National University,24.4,1037,24.1,808,24.2,583,28.3,1244,43.2,659,27.6,1362,"24,436",584,19.9,571,6%,914
Clarkson University,24.4,1038,25.8,702,16.5,925,35.3,1106,40.4,908,51.5,636,"4,024",1684,14.9,1060,9%,743
Comenius University in Bratislava,24.4,1039,23.8,824,15.5,990,39.7,1034,37.2,1568,53.3,600,"21,788",679,10.6,1522,14%,520
Creighton University,24.4,1040,39.8,242,14.6,1051,29.3,1229,38.2,1257,26.7,1398,"9,641",1338,14.9,1055,4%,1117
Czech University of Life Sciences Prague (CZU),24.4,1041,17.4,1433,13.6,1136,42.1,986,52,373,71.2,331,"18,057",848,17.6,752,22%,263
University of Debrecen,24.4,1042,34.7,361,14.3,1081,29.8,1217,41.9,765,60.1,477,"29,045",442,17.7,737,22%,262
University of Delhi,24.4,1043,40.9,216,24.2,582,26.2,1280,37,1681,18.6,1727,"27,471",489,25.6,289,1%,1467
Don State Technical University,24.4,1044,17,1487,8.8,1672,61.5,635,38.2,1249,27.1,1385,"26,241",528,12.8,1301,12%,602
Dr B.R. Ambedkar National Institute of Technology Jalandhar,24.4,1045,21.5,999,13.1,1180,45.8,930,37.6,1397,14.9,1798,"5,016",1648,23.7,359,0%,1693
East China University of Science and Technology,24.4,1046,24.2,802,22.4,646,41.9,988,61.7,255,20.1,1681,"28,718",449,16.9,823,2%,1352
University of East London,24.4,1047,20.8,1051,15,1023,34.4,1121,37.1,1612,81.8,198,"12,180",1169,21.9,439,44%,37
École Centrale de Lyon,24.4,1048,29.7,537,22.3,650,20.8,1405,50.3,404,73.1,298,"2,108",1755,14.3,1140,26%,200
University of Engineering & Technology (UET) Lahore,24.4,1049,16.4,1561,9.9,1536,41.5,997,37.3,1517,46.6,760,"13,163",1111,13.9,1189,3%,1238
Universidade Estadual Paulista (Unesp),24.4,1050,33.6,392,28.8,455,16.3,1519,41.6,791,30.3,1261,"42,008",166,15.6,968,3%,1225
European University of Madrid,24.4,1051,18.3,1301,9.8,1542,51.6,826,37.1,1601,60.2,476,"10,684",1259,10.7,1514,32%,123
University of Extremadura,24.4,1052,19.9,1139,11.1,1376,49.2,865,39,1114,33.2,1160,"20,509",726,11.2,1469,2%,1411
Federal University of Rio de Janeiro,24.4,1053,38.7,267,25.3,545,21.3,1396,66.5,217,30.3,1259,"45,747",136,11.4,1445,1%,1616
Universidade Federal de Santa Catarina,24.4,1054,30.2,518,19.2,782,35.9,1090,54.4,332,30.1,1266,"38,751",212,16.1,905,2%,1359
Federal University of Technology Akure,24.4,1055,20.9,1044,10.2,1484,47,909,37.2,1564,34.9,1102,"19,593",763,21.1,482,0%,1709
Ferdowsi University of Mashhad,24.4,1056,27.1,649,25.7,533,25.3,1300,65.7,223,31.3,1222,"25,269",559,30.9,162,9%,726
Florida Institute of Technology,24.4,1057,29.2,558,17.4,868,25.6,1290,39.4,1052,66.7,384,"5,091",1640,14.9,1059,25%,213
University of Fortaleza (UNIFOR),24.4,1058,16.4,1562,8.6,1709,57.6,710,37.7,1364,35.3,1088,"21,115",704,18.5,682,0%,1721
Fu Jen Catholic University,24.4,1059,24,813,26.5,514,19.4,1428,78.9,124,28.7,1315,"18,619",810,29,203,5%,974
Fujian Agriculture and Forestry University,24.4,1060,15.5,1647,11.8,1304,47.4,896,42.4,727,26.2,1413,"29,188",436,16.9,822,1%,1543
University of Ghana,24.4,1061,16.3,1574,17,899,32.1,1169,48.5,442,49,695,"54,256",82,32.4,147,1%,1455
Guangxi University,24.4,1062,16.7,1526,13.2,1176,50.7,842,45,564,22,1607,"39,172",205,19.8,582,2%,1334
University of Gujrat,24.4,1063,14.6,1720,10.5,1457,58.5,694,36.9,1743,40.4,948,"11,975",1182,23.5,369,0%,1695
Guru Jambheshwar University of Science and Technology,24.4,1064,23,879,8.9,1657,48.8,874,36.9,1748,15.8,1793,"6,420",1560,19.3,624,0%,1719
Hakim Sabzevari University,24.4,1065,16.2,1584,9.9,1537,56.8,726,37,1661,33.5,1152,"7,940",1462,19.8,588,4%,1084
Hamamatsu University School of Medicine,24.4,1066,28.6,578,18.3,831,30.2,1209,41.4,810,21,1651,"1,204",1783,4.6,1770,2%,1431
Huaqiao University,24.4,1067,15.3,1664,12,1292,40.2,1025,38.8,1151,59.5,492,"31,351",374,17.2,787,18%,379
Hyogo College of Medicine,24.4,1068,30.5,504,12,1283,35.5,1102,40.7,873,16.2,1784,937,1793,2.2,1787,0%,1794
Ibn Tofaïl University,24.4,1069,18.8,1234,10.9,1405,41.9,989,38.9,1138,25.4,1447,"51,802",88,71.9,7,3%,1155
Ilia State University,24.4,1070,17.1,1468,8.6,1705,40.2,1026,37.1,1609,49.7,675,"16,196",936,10.2,1556,3%,1265
Ilmenau University of Technology,24.4,1071,27.4,627,16.8,905,23.2,1346,51.7,379,64.1,422,"5,425",1628,17.4,778,30%,141
IMT Nord Europe,24.4,1072,29,565,26.5,513,17.1,1492,73.6,167,74.2,283,"1,484",1773,16.1,914,21%,300
"Indian Institute of Science Education and Research, Pune",24.4,1073,36,325,16.2,940,27.4,1263,38.2,1259,25.4,1449,"1,512",1772,10.4,1546,0%,1783
Indian Institute of Science Education and Research Kolkata,24.4,1074,29.1,562,16.5,924,31.7,1174,39.7,1009,19.6,1700,"1,563",1770,12.3,1369,0%,1775
Indian Institute of Technology Bhubaneswar,24.4,1075,23.8,825,13.7,1122,45.5,937,38.1,1279,18.1,1743,"2,102",1756,14.7,1088,0%,1759
Indian Institute of Technology Guwahati,24.4,1076,30.2,519,22.3,649,33.8,1137,41,844,21,1652,"6,353",1571,13.8,1199,1%,1584
Indian Institute of Technology (Indian School of Mines) Dhanbad,24.4,1077,24,814,21.9,666,38.2,1064,40.6,889,15.9,1791,"7,002",1535,20.7,517,1%,1509
Indian Institute of Technology Mandi,24.4,1078,27.6,619,11.7,1307,38.1,1067,37.9,1325,21.9,1614,"1,587",1769,11.6,1432,1%,1614
University of Indonesia,24.4,1079,40.1,233,19.9,745,16,1531,77.7,137,54.8,577,"41,123",176,8.6,1662,14%,529
Inha University,24.4,1080,27.4,628,22.3,651,27.7,1257,70.1,193,35.8,1072,"17,103",892,21,491,8%,776
Isfahan University of Medical Sciences,24.4,1081,42.6,191,13,1185,32.4,1164,37.1,1613,20.4,1675,"10,102",1295,10.2,1560,2%,1417
Isfahan University of Technology,24.4,1082,21.2,1023,22.8,633,40.3,1023,71.2,186,27.8,1351,"11,323",1224,23.5,370,1%,1478
Istanbul University,24.4,1083,22.1,942,20.8,715,32.4,1163,48.3,450,31.5,1210,"59,250",68,25.1,303,8%,770
Istanbul University-Cerrahpaşa,24.4,1084,17.1,1469,12.1,1279,52.6,804,45.3,552,21.3,1640,"25,638",549,21.7,448,3%,1186
Jadavpur University,24.4,1085,35,344,16.9,902,28.9,1234,41.9,766,16.8,1773,"14,217",1057,21.7,450,0%,1703
Jaume I University,24.4,1086,19.2,1196,20,744,44.9,943,39.4,1047,44.8,805,"11,495",1208,14.6,1100,10%,696
University of Jeddah,24.4,1087,16.5,1553,8.8,1674,48.6,881,37.9,1322,71.4,329,"26,236",529,13.9,1187,2%,1385
Jeonbuk National University,24.4,1088,24.7,770,23.7,600,27.7,1256,46.2,516,30.8,1242,"20,453",730,19.9,572,7%,849
Jiangnan University,24.4,1089,20.4,1092,19.5,767,37.7,1070,59.5,276,20.4,1672,"29,614",420,13.1,1264,1%,1594
Jiangsu Normal University,24.4,1090,15.5,1648,11.2,1362,53.8,781,39.3,1062,24.1,1516,"23,978",603,14.3,1134,2%,1378
Jiangxi University of Finance and Economics,24.4,1091,17.4,1434,9.1,1633,61.4,637,39.3,1061,30.2,1264,"24,395",587,18.5,681,2%,1343
The Jikei University School of Medicine,24.4,1092,28.5,584,9.2,1614,52.5,805,40,963,17.4,1763,"1,093",1789,0.9,1797,0%,1798
Kanazawa University,24.4,1093,27.2,643,17,890,25.8,1288,44.3,596,29.8,1276,"9,886",1311,9.4,1623,7%,879
Kaohsiung Medical University,24.4,1094,22.5,910,24.2,586,25.8,1287,54.2,337,27.7,1356,"6,490",1556,11.8,1411,6%,950
Kharkiv National University of Radio Electronics,24.4,1095,19.1,1207,9.4,1585,55.9,745,37.5,1427,29.7,1280,"7,704",1478,9.9,1587,10%,717
K.N. Toosi University of Technology,24.4,1096,23.3,852,21.8,672,38.7,1046,42.9,691,30.3,1260,"8,403",1433,26.6,257,2%,1306
Kumamoto University,24.4,1097,24.6,778,18.9,800,30.4,1201,48.2,453,32,1192,"9,536",1345,10,1575,6%,957
Kwame Nkrumah University of Science and Technology,24.4,1098,13.1,1779,14.2,1098,39.5,1038,43.4,650,47.2,742,"87,443",27,78.1,5,1%,1439
Kyoto Prefectural University of Medicine,24.4,1099,30.1,524,15.9,963,41.1,1004,45.4,548,17.7,1753,"1,371",1776,3.4,1781,1%,1648
University of Las Palmas de Gran Canaria,24.4,1100,16.5,1554,15,1028,44.6,948,36.9,1751,41.5,925,"15,612",971,16.9,828,8%,783
Lebanese University,24.4,1101,36.5,311,20.1,738,17.3,1483,37,1691,78.6,236,"46,256",129,14.8,1063,16%,438
University of Leoben,24.4,1102,29.5,543,13,1187,25.5,1295,53.6,344,79.2,227,"2,604",1739,4.6,1769,17%,424
University of León,24.4,1103,17.8,1377,13.6,1134,46.3,918,38.6,1175,34.1,1130,"14,828",1024,15.3,1010,5%,1010
Lorestan University,24.4,1104,24.3,795,11.1,1371,50,853,37.1,1603,21.8,1618,"9,059",1382,23.6,364,1%,1476
Lusophone University of Humanities and Technologies,24.4,1105,18.4,1284,11.4,1333,36,1088,38.7,1164,67.4,377,"7,544",1488,10.7,1518,22%,278
Universiti Malaysia Perlis,24.4,1106,17.9,1357,13.6,1133,40.7,1013,37.2,1567,29.6,1286,"10,937",1244,13.6,1212,5%,1023
University of Manouba,24.4,1107,19.2,1197,8.3,1742,52.7,803,36.9,1745,44.6,817,"16,315",931,12.1,1378,1%,1609
University of Maragheh,24.4,1108,15.1,1678,12.4,1251,55.7,751,36.9,1744,27.4,1373,"3,146",1720,19.9,578,0%,1715
University of Marrakech Cadi Ayyad,24.4,1109,26.8,663,10.5,1448,32.7,1154,38.7,1165,37.7,1021,"110,826",20,44.8,40,1%,1444
University of Mauritius,24.4,1110,16.4,1563,10,1522,49.1,868,38.1,1277,41.9,904,"8,710",1408,21.5,462,1%,1497
University of Mazandaran,24.4,1111,25.2,731,15,1020,38.1,1066,38.1,1280,27,1388,"13,320",1104,33.1,136,6%,893
Medical University of Bialystok,24.4,1112,37.1,298,10.5,1447,30.9,1190,39.5,1036,28,1344,"5,494",1621,12.7,1330,8%,802
Menoufia University,24.4,1113,14.5,1723,8.2,1760,61.4,638,38.2,1250,41.7,912,"100,182",23,34.3,116,0%,1662
Miguel Hernández University of Elche,24.4,1114,17.5,1421,16.1,947,40.5,1019,40,967,38.6,997,"12,276",1168,17,817,7%,859
Morgan State University,24.4,1115,22,952,10.4,1463,36.7,1083,37.2,1570,48.7,700,"6,129",1587,11.7,1420,8%,807
University of Murcia,24.4,1116,20.1,1121,19.1,793,34,1131,39.2,1082,39.8,963,"26,351",524,16,921,8%,789
Nanjing University of Aeronautics and Astronautics,24.4,1117,22,953,26.1,520,23.1,1349,69.5,198,20.8,1659,"32,300",348,15.6,971,3%,1226
Nanjing Medical University,24.4,1118,29.2,559,19.7,755,37.2,1072,39,1118,20.7,1665,"20,660",721,8.6,1663,4%,1147
National Autonomous University of Mexico,24.4,1119,29.9,529,29.5,438,21.3,1395,54.3,333,47.8,722,"172,729",8,17.4,769,4%,1099
National Central University,24.4,1120,25,746,22.6,642,17.4,1478,73.6,166,43.7,840,"10,853",1247,9.7,1603,9%,757
National University of Colombia,24.4,1121,20.3,1099,13.1,1181,41.2,1002,37.3,1518,38.4,1003,"42,188",164,15.8,944,1%,1556
National Taipei University of Technology,24.4,1122,22.7,897,23.1,623,24.6,1316,96.5,32,39.7,965,"9,873",1313,15.7,962,11%,634
National Taiwan Ocean University,24.4,1123,18.7,1251,25.6,537,24.1,1322,74.9,158,31.3,1221,"8,905",1392,21,497,6%,909
National Institute of Technology Rourkela,24.4,1124,22.2,933,17.2,879,45.6,933,39,1115,18.6,1723,"7,583",1485,20.6,525,4%,1079
Necmettin Erbakan University,24.4,1125,33.7,388,12.7,1207,26.9,1269,39.6,1025,31.5,1213,"18,420",826,13.4,1233,13%,562
Niigata University,24.4,1126,25.3,722,13.5,1141,48.8,873,42.1,743,25.3,1451,"12,037",1178,7.6,1717,3%,1275
Northwest University,24.4,1127,21.5,1000,14.5,1067,40.1,1027,41.5,799,21.4,1635,"26,073",536,14,1173,1%,1581
Oakland University,24.4,1128,29,566,15.7,977,31.3,1183,37.1,1614,33.6,1148,"15,413",987,17.8,730,4%,1094
Óbuda University,24.4,1129,15,1686,14.6,1064,45.5,935,38.8,1150,42.1,899,"11,804",1189,38.4,71,6%,890
Okayama University,24.4,1130,27.6,620,20.3,730,22.4,1370,57.6,294,33.6,1144,"13,012",1125,10.4,1541,10%,715
University of Oviedo,24.4,1131,22,954,20.1,741,38.4,1059,40.4,907,32.8,1170,"18,599",811,11.6,1424,2%,1408
Palacký University Olomouc,24.4,1132,19.6,1164,19.9,748,40,1029,37.8,1350,59.3,496,"18,673",805,14.5,1110,13%,560
University of Patras,24.4,1133,16.9,1500,16.6,923,43.7,960,40.9,854,38.1,1013,"29,393",428,25.6,288,6%,900
Pavol Jozef Šafárik University in Košice,24.4,1134,39.7,245,10.1,1493,14.4,1578,37,1697,64.8,410,"6,867",1543,10,1576,23%,248
University of Pécs,24.4,1135,38.3,278,13,1186,27.2,1266,38.7,1166,56.3,547,"17,711",866,12.6,1337,23%,246
PMAS Arid Agriculture University Rawalpindi,24.4,1136,26.4,681,11.2,1354,35.5,1103,36.9,1756,43.1,869,"11,456",1211,44.8,41,0%,1655
Polytechnic Institute of Porto,24.4,1137,14.3,1731,11.2,1365,46.3,919,37.1,1605,36.7,1052,"18,743",803,16.9,826,7%,860
Pondicherry University,24.4,1138,35.9,327,21.3,694,23.5,1342,38.1,1285,16.1,1786,"7,291",1503,22.6,402,1%,1485
Portland State University,24.4,1139,20.5,1081,21.5,683,40.6,1016,37.8,1349,30.6,1247,"18,067",847,19.3,622,6%,916
Port Said University,24.4,1140,13.2,1777,8,1777,53.9,776,37,1664,42.5,887,"29,534",423,29.8,186,0%,1671
Public University of Navarre,24.4,1141,20,1130,13.5,1145,42.5,976,39,1116,46.6,758,"7,806",1473,11.2,1474,8%,811
University of Puerto Rico,24.4,1142,22.9,886,10.5,1450,41,1007,39.9,983,46.7,755,"47,257",120,17,804,1%,1541
